maxtempC,mintempC,totalSnow_cm,sunHour,AQI_Explained
15,5,0,8.7,Hazardous
14,7,0,8.7,Hazardous
16,9,0,8.7,Hazardous
10,4,0,5.5,Hazardous
10,3,0,8.7,Hazardous
11,5,0,8.7,Very unhealthy
12,9,0,5.5,Unhealthy
9,4,0,4,Very unhealthy
5,2,0,8.7,Very unhealthy
7,1,0,8.7,Very unhealthy
7,5,0,4,Very unhealthy
9,4,0,5.5,Hazardous
6,3,0,7.1,Hazardous
7,2,0,7.1,Very unhealthy
7,1,0,8.7,Unhealthy
10,2,0,8.7,Very unhealthy
11,4,0,8.7,Hazardous
8,3,0,8.7,Hazardous
9,1,0,8.7,Hazardous
11,3,0,8.7,Hazardous
6,0,0,8.7,Hazardous
5,-1,0,8.7,Hazardous
10,2,0,8.7,Hazardous
15,5,0,8.7,Very unhealthy
16,8,0,8.7,Very unhealthy
9,5,0,5.6,Hazardous
12,4,0,8.7,Unhealthy
14,6,0,8.7,Unhealthy
12,7,0,5.6,Hazardous
17,8,0,8.7,Hazardous
17,8,0,8.7,Hazardous
24,13,0,8.7,Hazardous
17,11,0,8.7,Hazardous
10,4,0,4.1,Hazardous
6,3,0,8.7,Hazardous
6,4,0,4.1,Unhealthy for sensitive groups
9,8,0,4.1,Unhealthy for sensitive groups
7,3,0,4.1,Unhealthy for sensitive groups
6,1,0,5.6,Unhealthy for sensitive groups
3,0,0.3,4.1,Hazardous
3,-1,0.1,8.7,Hazardous
5,-2,0,7.2,Very unhealthy
6,1,0,4.1,Very unhealthy
7,4,0,4.1,Very unhealthy
8,2,0,7.2,Unhealthy
9,0,0,8.7,Very unhealthy
8,5,0,4.2,Unhealthy
9,6,0,4.2,Unhealthy
4,2,0,4.2,Very unhealthy
6,1,0,4.2,Unhealthy
9,1,0,7.2,Hazardous
9,2,0,8.7,Hazardous
10,4,0,7.2,Hazardous
12,5,0,8.7,Hazardous
11,6,0,4.2,Hazardous
10,9,0,4.2,Hazardous
11,8,0,4.2,Unhealthy
14,7,0,5.7,Very unhealthy
9,7,0,4.2,Hazardous
8,5,0,4.2,Hazardous
11,4,0,7.2,Unhealthy
12,6,0,8.7,Hazardous
11,7,0,4.3,Very unhealthy
10,4,0,8.7,Unhealthy
7,3,0,4.3,Very unhealthy
10,3,0,7.2,Unhealthy for sensitive groups
7,2,0,4.3,Unhealthy
13,2,0,8.7,Very unhealthy
13,2,0,5.8,Hazardous
14,7,0,11.6,Hazardous
15,7,0,6,Hazardous
11,3,0,11.6,Very unhealthy
14,3,0,11.6,Very unhealthy
18,6,0,11.6,Hazardous
19,9,0,11.6,Hazardous
24,13,0,11.6,Hazardous
24,10,0,11.6,Hazardous
13,8,0,7.5,Hazardous
13,6,0,11.8,Hazardous
14,3,0,12.5,Hazardous
15,5,0,12.5,Unhealthy
15,7,0,12.5,Very unhealthy
13,9,0,11.8,Very unhealthy
14,6,0,11.8,Very unhealthy
15,6,0,11.8,Hazardous
17,9,0,12.6,Hazardous
18,12,0,9.2,Very unhealthy
20,14,0,9.2,Very unhealthy
20,10,0,12.7,Hazardous
15,10,0,12.7,Hazardous
17,11,0,11.9,Hazardous
18,10,0,10.6,Hazardous
19,9,0,12.7,Hazardous
19,6,0,12.7,Very unhealthy
20,7,0,12.8,Hazardous
15,4,0,12.8,Unhealthy for sensitive groups
17,10,0,12.8,Very unhealthy
20,12,0,12.8,Hazardous
20,11,0,12.8,Hazardous
22,11,0,12.9,Hazardous
