date,precipitation,temp_max,temp_min,wind,weather
1/2/2012,10.9,10.6,2.8,4.5,rain
1/3/2012,0.8,11.7,7.2,2.3,rain
1/4/2012,20.3,12.2,5.6,4.7,rain
1/5/2012,1.3,8.9,2.8,6.1,rain
1/6/2012,2.5,4.4,2.2,2.2,rain
1/7/2012,0,7.2,2.8,2.3,rain
1/8/2012,0,10,2.8,2,sun
1/9/2012,4.3,9.4,5,3.4,rain
1/10/2012,1,6.1,0.6,3.4,rain
1/11/2012,0,6.1,-1.1,5.1,sun
1/12/2012,0,6.1,-1.7,1.9,sun
1/13/2012,0,5,-2.8,1.3,sun
1/14/2012,4.1,4.4,0.6,5.3,snow
1/15/2012,5.3,1.1,-3.3,3.2,snow
1/1/2012,0,12.8,5,4.7,drizzle
1/16/2012,2.5,1.7,-2.8,5,snow
1/17/2012,8.1,3.3,0,5.6,snow
1/18/2012,19.8,0,-2.8,5,snow
1/19/2012,15.2,-1.1,-2.8,1.6,snow
1/20/2012,13.5,7.2,-1.1,2.3,snow
1/21/2012,3,8.3,3.3,8.2,rain
1/22/2012,6.1,6.7,2.2,4.8,rain
1/23/2012,0,8.3,1.1,3.6,rain
1/24/2012,8.6,10,2.2,5.1,rain
1/25/2012,8.1,8.9,4.4,5.4,rain
1/26/2012,4.8,8.9,1.1,4.8,rain
1/27/2012,0,6.7,-2.2,1.4,drizzle
1/28/2012,0,6.7,0.6,2.2,rain
1/29/2012,27.7,9.4,3.9,4.5,rain
1/30/2012,3.6,8.3,6.1,5.1,rain
1/31/2012,1.8,9.4,6.1,3.9,rain
2/1/2012,13.5,8.9,3.3,2.7,rain
2/2/2012,0,8.3,1.7,2.6,sun
2/3/2012,0,14.4,2.2,5.3,sun
2/4/2012,0,15.6,5,4.3,sun
2/5/2012,0,13.9,1.7,2.9,sun
2/6/2012,0,16.1,1.7,5,sun
2/7/2012,0.3,15.6,7.8,5.3,rain
2/8/2012,2.8,10,5,2.7,rain
2/9/2012,2.5,11.1,7.8,2.4,rain
2/10/2012,2.5,12.8,6.7,3,rain
2/11/2012,0.8,8.9,5.6,3.4,rain
2/12/2012,1,8.3,5,1.3,rain
2/13/2012,11.4,7.2,4.4,1.4,rain
2/14/2012,2.5,6.7,1.1,3.1,rain
2/15/2012,0,7.2,0.6,1.8,drizzle
2/16/2012,1.8,7.2,3.3,2.1,rain
2/17/2012,17.3,10,4.4,3.4,rain
2/18/2012,6.4,6.7,3.9,8.1,rain
2/19/2012,0,6.7,2.2,4.7,sun
2/20/2012,3,7.8,1.7,2.9,rain
2/21/2012,0.8,10,7.8,7.5,rain
2/22/2012,8.6,10,2.8,5.9,rain
2/23/2012,0,8.3,2.8,3.9,sun
2/24/2012,11.4,6.7,4.4,3.5,rain
2/25/2012,0,7.2,2.8,6.4,rain
2/26/2012,1.3,5,-1.1,3.4,snow
2/27/2012,0,6.7,-2.2,3,sun
2/28/2012,3.6,6.7,-0.6,4.2,snow
2/29/2012,0.8,5,1.1,7,snow
3/1/2012,0,6.1,1.1,3.1,sun
3/2/2012,2,6.7,3.9,5.1,rain
3/3/2012,0,12.2,6.7,7,sun
3/4/2012,0,10.6,6.7,5.6,rain
3/5/2012,6.9,7.8,1.1,6.2,rain
3/6/2012,0.5,6.7,0,2.7,snow
3/7/2012,0,8.9,-1.7,2.7,sun
3/8/2012,0,15.6,0.6,2.5,sun
3/9/2012,3.6,9.4,5,2.8,rain
3/10/2012,10.4,7.2,6.1,3.4,rain
3/11/2012,13.7,6.7,2.8,5.8,rain
3/12/2012,19.3,8.3,0.6,6.2,snow
3/13/2012,9.4,5.6,0.6,5.3,snow
3/14/2012,8.6,7.8,1.1,4.7,rain
3/15/2012,23.9,11.1,5.6,5.8,snow
3/16/2012,8.4,8.9,3.9,5.1,rain
3/17/2012,9.4,10,0.6,3.8,snow
3/18/2012,3.6,5,-0.6,2.7,rain
3/19/2012,2,7.2,-1.1,3,rain
3/20/2012,3.6,7.8,2.2,6.4,rain
3/21/2012,1.3,8.9,1.1,2.5,rain
3/22/2012,4.1,10,1.7,2.1,rain
3/23/2012,0,12.2,0.6,2.8,sun
3/24/2012,0,15,3.3,5.2,sun
3/25/2012,0,13.3,2.2,2.7,rain
3/26/2012,0,12.8,6.1,4.3,drizzle
3/27/2012,4.8,14.4,6.7,3.8,rain
3/28/2012,1.3,10.6,7.2,5.9,rain
3/29/2012,27.4,10,6.1,4.4,rain
3/30/2012,5.6,9.4,5,4.7,rain
3/31/2012,13.2,10,2.8,3.4,rain
4/1/2012,1.5,8.9,4.4,6.8,rain
4/2/2012,0,16.7,4.4,3.1,sun
4/3/2012,1.5,11.7,3.3,3.1,rain
4/4/2012,0,10.6,2.8,2.1,sun
4/5/2012,4.6,9.4,2.8,1.8,snow
4/6/2012,0.3,11.1,3.3,2.6,rain
4/7/2012,0,16.1,1.7,4.3,sun
4/8/2012,0,21.1,7.2,4.1,sun
4/9/2012,0,20,6.1,2.1,sun
4/10/2012,0,17.8,8.9,3.2,rain
4/11/2012,2.3,11.1,7.2,2.6,rain
4/12/2012,0.5,13.9,5.6,2.6,rain
4/13/2012,0,15,3.9,4,drizzle
4/14/2012,0,15.6,3.3,3,sun
4/15/2012,0,16.1,7.2,2.9,rain
4/16/2012,8.1,13.3,6.7,5.8,rain
4/17/2012,1.8,10,4.4,2,rain
4/18/2012,1.8,13.3,7.2,3.9,rain
4/19/2012,10.9,13.9,5,2.6,rain
4/20/2012,6.6,13.3,6.7,2.7,rain
4/21/2012,0,20,4.4,2.3,sun
4/22/2012,0,23.3,8.3,2.6,rain
4/23/2012,0,21.7,8.9,3.5,sun
4/24/2012,4.3,13.9,10,2.8,rain
4/25/2012,10.7,16.7,8.9,2.6,rain
4/26/2012,3.8,13.9,6.7,5.2,rain
4/27/2012,0.8,13.3,6.1,4.8,rain
4/28/2012,0,16.1,8.3,2.5,drizzle
4/29/2012,4.3,15.6,8.9,1.6,rain
4/30/2012,4.3,12.8,7.2,8,rain
5/1/2012,0.5,11.7,6.1,6.4,rain
5/2/2012,0.5,13.3,5.6,2.5,rain
5/3/2012,18.5,11.1,7.2,3.4,rain
5/4/2012,1.8,12.2,6.1,4.6,rain
5/5/2012,0,13.3,5,2.3,sun
5/6/2012,0,17.8,5,2.4,sun
5/7/2012,0,23.9,6.1,2.2,sun
5/8/2012,0,18.3,9.4,3,sun
5/9/2012,0,13.3,6.7,3.9,rain
5/10/2012,0,14.4,3.9,3,sun
5/11/2012,0,18.3,4.4,4.3,sun
5/12/2012,0,24.4,6.7,3.4,sun
5/13/2012,0,25.6,9.4,4.2,sun
5/14/2012,0,26.7,12.8,3.8,sun
5/15/2012,0,24.4,9.4,4.1,drizzle
5/16/2012,0,19.4,9.4,3.5,sun
5/17/2012,0,17.8,6.7,2.9,rain
5/18/2012,0,15.6,7.8,3.1,rain
5/19/2012,0,19.4,7.2,1.5,sun
5/20/2012,6.4,14.4,11.7,1.3,rain
5/21/2012,14,16.7,10,4,rain
5/22/2012,6.1,12.8,8.9,4.8,rain
5/23/2012,0.3,14.4,8.9,6.3,rain
5/24/2012,0,17.2,8.9,3.3,rain
